Date,m50,m50_index,POP_ESTIMATE_2018,Urban_Influence_Code_2013,Mar Temp AVG / F,Apr Temp AVG / F,Total_age0to17,Total_age18to64,Total_age65plus,Percent of adults with less than a high school diploma 2014-18,Employed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Density per square mile of land area - Population,Density per square mile of land area - Housing units,Active Physicians per 100000 Population 2018 (AAMC),All Specialties (AAMC),ICU Beds,transit_scores - population weighted averages aggregated from town/city level to county,Premature Death,% Adults with Obesity,Average Daily PM2.5,% Severe Housing Problems,Cardiovascular Deaths Per 100K,stay at home_bool,>50 gatherings_bool,>500 gatherings_bool,public_schools_bool,dine_in_bool,Percent_White,Percent_Black,Percent_NativeAmerican,Percent_Asian,Percent_NativeHawaiianPI,Percent_TwoPlusRaces,Percent_Hispanic,Age_0_14,Age_15_24,Age_25_44,Age_45_64,Age_65plus,C_Female,C_Male,Subgroup_Case_Rate_Black,Subgroup_Case_Rate_White,Subgroup_Case_Rate_Hispanic,Subgroup_Case_Rate_AsianNA_NH_PI_TwoPlus,T_negative,T_positive,T_total,cases,deaths,Day_of_Week
2020-04-13,7.888999999999999,48.0,48305.0,6.0,60.5,66.9,8961.0,29920.0,9424.0,19.3,16846.0,4.0,39545.0,71.3,54.2,22.9,265.2,128.1007553,7.0,0.0,10331.0,37.0,10.5,13.0,522.3,True,True,True,True,True,69.1957354311148,26.854362902391056,0.8756857468170997,0.7556153607287031,0.2939654280095228,2.024635130938826,5.011903529655315,5.0,19.0,66.0,71.0,40.0,5.0,0.0,0.023126734505087884,0.005983545250560957,0.0,0.0,195.0,6.0,201.0,6.0,0.0,0
2020-04-13,3.48,26.0,71375.0,2.0,60.0,65.9,14423.0,42275.0,14677.0,11.5,29698.0,3.1,60973.0,110.0,53.0,43.5,265.2,189.28043490000002,28.0,278651455.0,7321.0,32.0,10.1,19.0,412.8,True,True,True,True,True,89.71348511383538,5.244133099824869,0.8056042031523643,1.3842381786339755,0.16112084063047286,2.691418563922942,6.380385288966725,23.0,31.0,88.0,127.0,69.0,15.0,6.0,0.0,0.03279558977402277,0.021958717610891524,0.0,307.0,29.0,338.0,29.0,0.0,0
2020-04-13,2.441,13.0,8732.0,12.0,61.5,68.0,1771.0,5560.0,1401.0,23.9,2756.0,3.2,42689.0,77.0,16.3,6.1,265.2,23.156522,0.0,0.0,9426.0,33.0,8.7,17.0,477.8,True,True,True,True,True,83.88685295464956,13.502061383417315,0.8131012368300504,0.2977553825011452,0.11452130096197893,1.385707741639945,14.246449839670177,2.0,3.0,13.0,6.0,14.0,1.0,0.0,0.0,0.013651877133105802,0.08038585209003216,0.0,37.0,1.0,38.0,1.0,0.0,0
2020-04-13,4.7669999999999995,21.0,32461.0,2.0,61.4,67.6,6945.0,20430.0,5086.0,12.1,14307.0,3.1,58203.0,105.0,50.8,21.1,265.2,86.08381364,0.0,0.0,8328.0,40.0,9.7,12.0,455.9,True,True,True,True,True,83.16441267983117,13.10187609747081,0.7393487569699024,0.7393487569699024,0.0924185946212378,2.1625951141369644,3.767598040725794,8.0,18.0,69.0,66.0,27.0,7.0,4.0,0.14107688690336231,0.01481700992739665,0.0,0.0,178.0,11.0,189.0,12.0,1.0,0
2020-04-13,1.7,22.0,547538.0,2.0,66.2,71.8,96836.0,316969.0,133733.0,10.0,243967.0,3.7,50285.0,90.7,449.2,230.9,265.2,1452.024249,148.0,3212576735.0,9436.0,30.0,7.6,18.0,469.3,True,True,True,True,True,83.8991996902498,11.385693778331367,0.4733918011170001,2.006801354426542,0.07816809061654169,2.15674528525874,14.528124075406637,89.0,139.0,709.0,909.0,765.0,104.0,99.0,0.03368569641167129,0.02721058818407419,0.026399487095679283,0.14718983615447184,2401.0,212.0,2615.0,216.0,7.0,0
2020-04-13,6.6979999999999995,27.0,14940.0,4.0,62.1,68.1,2902.0,9801.0,2237.0,23.1,4511.0,3.4,45906.0,82.8,63.8,18.5,265.2,39.61961048,0.0,9693697.0,16885.0,37.0,8.1,16.0,671.1,True,True,True,True,True,74.28380187416333,22.650602409638555,0.5287817938420347,0.7429718875502008,0.040160642570281124,1.7536813922356091,5.7095046854083,6.0,7.0,49.0,35.0,26.0,1.0,1.0,0.0,0.009010632546404758,0.0,0.0,119.0,2.0,123.0,2.0,0.0,0
2020-04-13,2.573,48.0,21623.0,6.0,61.7,68.4,4357.0,12846.0,4420.0,22.6,8399.0,3.8,42307.0,76.3,21.6,10.5,265.2,57.342358600000004,6.0,0.0,10594.0,35.0,9.0,10.0,492.7,True,True,True,True,True,76.37700596586967,19.62262405771632,0.9758127919345142,0.8463210470332516,0.055496462100541086,2.1227396753456964,4.504462840493918,16.0,5.0,36.0,40.0,28.0,1.0,0.0,0.0,0.006055101422948834,0.0,0.0,124.0,1.0,125.0,1.0,0.0,0
2020-04-13,4.669,33.0,44191.0,6.0,60.8,67.6,9409.0,25340.0,9442.0,18.5,17608.0,3.7,38525.0,69.5,60.3,27.8,265.2,117.1907769,0.0,0.0,9446.0,38.0,9.1,16.0,495.6,True,True,True,True,True,84.13025276640039,12.7831458894345,0.7467583897173633,0.6856599760132154,0.08599036002806001,1.5681926184064627,9.630920323142721,14.0,27.0,101.0,111.0,97.0,51.0,16.0,0.37174721189591076,0.11565979880574534,0.09398496240601503,0.0,283.0,67.0,350.0,68.0,1.0,0
2020-04-13,0.377,6.0,128754.0,2.0,66.2,71.1,9102.0,45506.0,74146.0,8.4,29649.0,5.1,55324.0,99.8,170.8,97.0,265.2,341.44466719999997,0.0,0.0,8447.0,29.0,8.3,12.0,336.2,True,True,True,True,True,90.11914192957113,7.460739083834289,0.40309427279929166,0.9537567764884975,0.06834739114901285,0.9949205461577894,5.749724280410706,25.0,35.0,108.0,278.0,781.0,52.0,59.0,0.010410160316468874,0.08015030336458909,0.040524111846548694,0.0,1090.0,111.0,1228.0,112.0,9.0,0
2020-04-13,0.9259999999999999,11.0,467832.0,1.0,67.2,72.4,98309.0,296990.0,72533.0,5.7,246363.0,3.2,67187.0,121.2,1367.0,586.3,265.2,1240.65071,38.0,2981861981.0,6065.0,27.0,7.7,17.0,393.6,True,True,True,True,True,78.93816583730911,12.923015099437404,0.43797773559739395,4.8729030934181505,0.12141110484105405,2.7065271293968776,21.981181278749638,137.0,286.0,1186.0,1039.0,593.0,139.0,122.0,0.054583347117006846,0.052261317418453385,0.0952982933826032,0.08141611513814476,2963.0,267.0,3242.0,268.0,2.0,0
