Area_Name,State,Cardiovascular Deaths Per 100K,,
Monroe,FL,361.8,  ,
Lancaster,NE,361.8,  ,
Sheridan,MT,361.8,  ,
Fluvanna,VA,361.8,  ,
Walla Walla,WA,361.9,  ,
Jayuya,PR,361.9,  ,
Guayanilla,PR,361.9,  ,
Highland,VA,362,  ,
Phelps,NE,362.1,  ,
Ashe,NC,362.1,  ,
Pima,AZ,362.1,  ,
Hayes,NE,362.4,  ,
McKinley,NM,362.4,  ,
Richland,ND,362.4,  ,
Tompkins,NY,362.6,  ,
Lewis and Clark,MT,362.6,  ,
Kodiak Island,AK,362.7,  ,
Wallace,KS,362.7,  ,
St. Lucie,FL,362.8,  ,
DeKalb,GA,362.8,  ,
St. Louis,MN,362.8,  ,
Morrow,OR,363,  ,
Saunders,NE,363.1,  ,
Banner,NE,363.1,  ,
Adams,CO,363.2,  ,
Phillips,CO,363.4,  ,
Niobrara,WY,363.4,  ,
Sherman,NE,363.5,  ,
Dawson,NE,363.6,  ,
Ventura,CA,363.6,  ,
Jones,IA,363.7,  ,
Camden,MO,363.7,  ,
Millard,UT,363.8,  ,
Butte,SD,363.9,  ,
Logan,CO,364,  ,
Hampshire,MA,364.1,  ,
Cavalier,ND,364.4,  ,
Billings,ND,364.6,  ,
Tillamook,OR,364.6,  ,
Watonwan,MN,364.7,  ,
Yukon-Koyukuk,AK,365,  ,
Linn,IA,365,  ,
Dodge,NE,365.1,  ,
Kittson,MN,365.2,  ,
Pierce,WI,365.2,  ,
Green,WI,365.2,  ,
Putnam,NY,365.4,  ,
Grant,NM,365.9,  ,
Douglas,NE,365.9,  ,
Waseca,MN,366,  ,
Pennington,MN,366.1,  ,
Scotts Bluff,NE,366.1,  ,
Fallon,MT,366.2,  ,
Gilliam,OR,366.6,  ,
Stevens,MN,366.9,  ,
Clayton,IA,366.9,  ,
El Paso,TX,367,  ,
Cumberland,VA,367.1,  ,
Rockbridge,VA,367.3,  ,
Imperial,CA,367.4,  ,
Houston,MN,367.5,  ,
Hillsborough,NH,367.5,  ,
Lake of the Woods,MN,367.7,  ,
Meade,SD,367.7,  ,
Rich,UT,367.9,  ,
McHenry,ND,368,  ,
Wilkin,MN,368.1,  ,
Hudspeth,TX,368.1,  ,
Lewis,ID,368.2,  ,
Wood,WI,368.5,  ,
Clark,WA,368.6,  ,
Virginia Beach,VA,368.6,  ,
Merrimack,NH,368.6,  ,
Chippewa,MN,368.7,  ,
Kewaunee,WI,368.7,  ,
Pendleton,WV,368.9,  ,
Navajo,AZ,368.9,  ,
Litchfield,CT,368.9,  ,
Grayson,VA,369,  ,
Yauco,PR,369,  ,
Jefferson,MT,369.2,  ,
Hudson,NJ,369.2,  ,
Union,NJ,369.4,  ,
Clark,SD,369.4,  ,
Wayne,NY,369.5,  ,
New Haven,CT,369.6,  ,
Oldham,KY,369.7,  ,
Bowman,ND,369.7,  ,
Deuel,NE,369.7,  ,
Frontier,NE,369.8,  ,
Platte,MO,369.8,  ,
Marion,OR,369.8,  ,
Sullivan,NH,369.8,  ,
Martin,MN,370,  ,
Southeast Fairbanks,AK,370,  ,
Washington,NE,370.1,  ,
Yuma,CO,370.2,  ,
Iowa,WI,370.2,  ,
Culpeper,VA,370.3,  ,
Prairie,MT,370.4,  ,
Sheridan,NE,370.5,  ,
Umatilla,OR,370.7,  ,
Bayfield,WI,370.7,  ,
Bristol,MA,370.8,  ,
Otter Tail,MN,370.9,  ,
Washington,WI,370.9,  ,
Chester,PA,371,  ,
Gillespie,TX,371,  ,
Solano,CA,371.1,  ,
Haakon,SD,371.2,  ,
Spokane,WA,371.4,  ,
Worcester,MA,371.4,  ,
Cheshire,NH,371.5,  ,
Latah,ID,371.5,  ,
San Luis Obispo,CA,371.6,  ,
Wayne,NE,371.6,  ,
Colfax,NE,371.9,  ,
Powhatan,VA,372,  ,
Granite,MT,372.1,  ,
Roseau,MN,372.1,  ,
Ness,KS,372.1,  ,
Butler,NE,372.2,  ,
Blount,TN,372.2,  ,
Dunn,WI,372.3,  ,
Bear Lake,ID,372.3,  ,
Johnson,IA,372.5,  ,
Franklin,MA,372.5,  ,
Carlton,MN,372.7,  ,
Logan,NE,372.7,  ,
Crawford,WI,372.7,  ,
Middlesex,NJ,372.8,  ,
Grant,MN,372.8,  ,
Hamlin,SD,372.9,  ,
Coamo,PR,373,  ,
Iowa,IA,373,  ,
Northampton,PA,373.1,  ,
Custer,SD,373.2,  ,
Charleston,SC,373.2,  ,
Bonner,ID,373.4,  ,
Otoe,NE,373.4,  ,
Deuel,SD,373.5,  ,
Union,PA,373.6,  ,
Llano,TX,373.6,  ,
Cache,UT,373.7,  ,
Pend Oreille,WA,373.7,  ,
Harding,NM,373.8,  ,
Josephine,OR,373.9,  ,
Mille Lacs,MN,373.9,  ,
Grant,ND,374.1,  ,
El Paso,CO,374.2,  ,
Stephenson,IL,374.2,  ,
Cameron,TX,374.3,  ,
Lawrence,SD,374.5,  ,
Lehigh,PA,374.6,  ,
Lincoln,NM,374.6,  ,
Union,OR,374.7,  ,
Burnet,TX,374.7,  ,
Benton,WA,374.8,  ,
Adams,ND,374.9,  ,
Crowley,CO,374.9,  ,
Apache,AZ,375,  ,
Red Lake,MN,375,  ,
Keya Paha,NE,375.2,  ,
Guilford,NC,375.2,  ,
Cedar,IA,375.2,  ,
Decatur,KS,375.2,  ,
Delaware,IA,375.4,  ,
Okanogan,WA,375.4,  ,
McPherson,SD,375.4,  ,
Stafford,VA,375.5,  ,
Ada,ID,375.5,  ,
Custer,NE,375.5,  ,
Gage,NE,375.7,  ,
Huerfano,CO,375.8,  ,
Stevens,WA,376,  ,
Marshall,KS,376.3,  ,
Murray,MN,376.4,  ,
Benton,IA,376.5,  ,
Woodford,IL,376.5,  ,
Johnson,KS,376.6,  ,
Fredericksburg,VA,376.7,  ,
Bristol,RI,376.8,  ,
St. Charles,MO,376.9,  ,
Winona,MN,377,  ,
Esmeralda,NV,377,  ,
Hawaii,HI,377,  ,
Buncombe,NC,377.1,  ,
Starr,TX,377.2,  ,
Mason,TX,377.4,  ,
Spotsylvania,VA,377.5,  ,
Boone,KY,377.8,  ,
Nemaha,KS,378,  ,
Douglas,WI,378,  ,
Clearwater,ID,378.1,  ,
Sitka,AK,378.1,  ,
San Miguel,NM,378.2,  ,
Goochland,VA,378.2,  ,
Willacy,TX,378.4,  ,
Yamhill,OR,378.5,  ,
Renville,ND,378.6,  ,
Howard,NE,378.6,  ,
Granville,NC,378.7,  ,
Gosper,NE,378.8,  ,
Ohio,IN,378.9,  ,
Edmunds,SD,378.9,  ,
Mahnomen,MN,379,  ,
Teton,MT,379.1,  ,
Haskell,KS,379.1,  ,
Snyder,PA,379.2,  ,
Sedgwick,CO,379.3,  ,
Cibola,NM,379.4,  ,
Mercer,ND,379.5,  ,
Mower,MN,379.6,  ,
Dodge,MN,379.7,  ,
Hardin,KY,379.7,  ,
Kenai Peninsula,AK,379.8,  ,
Jackson,WI,379.8,  ,
Webb,TX,379.9,  ,
Strafford,NH,380.1,  ,
Fond du Lac,WI,380.3,  ,
Kearney,NE,380.4,  ,
Freeborn,MN,380.5,  ,
Grant,WI,380.5,  ,
Burnett,WI,380.5,  ,
Burt,NE,380.6,  ,
Pierce,NE,380.6,  ,
Fayette,KY,380.6,  ,
Bernalillo,NM,380.8,  ,
Redwood,MN,380.9,  ,
Kenedy,TX,380.9,  ,
Sanpete,UT,381,  ,
Loudon,TN,381.1,  ,
Yates,NY,381.1,  ,
Morrill,NE,381.2,  ,
Marshall,MN,381.6,  ,
Villalba,PR,381.6,  ,
Greene,VA,381.8,  ,
Lincoln,MN,382.2,  ,
Kingsbury,SD,382.3,  ,
Clay,MO,382.5,  ,
Tooele,UT,382.6,  ,
Mercer,NJ,382.7,  ,
Windham,VT,382.8,  ,
Centre,PA,382.8,  ,
Frederick,VA,382.8,  ,
Lincoln,WY,382.8,  ,
Wasatch,UT,382.9,  ,
Hall,GA,382.9,  ,
Weston,WY,383,  ,
Washington,VT,383.1,  ,
Grant,OR,383.1,  ,
Dundy,NE,383.2,  ,
Polk,MN,383.2,  ,
Petersburg,AK,383.2,  ,
Riley,KS,383.3,  ,
Clay,KS,383.3,  ,
Valencia,NM,383.3,  ,
Elko,NV,383.3,  ,
Stanton,NE,383.3,  ,
Woodbury,IA,383.4,  ,
Pennington,SD,383.4,  ,
Jo Daviess,IL,383.5,  ,
Berkshire,MA,383.5,  ,
Zapata,TX,383.6,  ,
Mendocino,CA,383.7,  ,
Pepin,WI,383.8,  ,
Salt Lake,UT,384,  ,
Codington,SD,384,  ,
Cascade,MT,384,  ,
Warren,NY,384.1,  ,
Boone,MO,384.3,  ,
Jasper,IA,384.3,  ,
Flathead,MT,384.4,  ,
Fremont,IA,384.5,  ,
Catron,NM,384.6,  ,
Dickey,ND,384.6,  ,
Minidoka,ID,384.7,  ,
Leon,FL,384.7,  ,
Brown,SD,384.7,  ,
Marathon,WI,384.7,  ,
McLean,IL,384.8,  ,
Grand Forks,ND,384.8,  ,
Dawson,MT,384.9,  ,
Multnomah,OR,385.1,  ,
Missoula,MT,385.2,  ,
Guthrie,IA,385.2,  ,
Lake,FL,385.5,  ,
Monroe,IN,385.6,  ,
Essex,VT,385.7,  ,
Jewell,KS,385.8,  ,
Jefferson,WI,385.9,  ,
Lincoln,WA,385.9,  ,
Torrance,NM,386,  ,
Hamilton,NE,386.1,  ,
Reno,KS,386.1,  ,
White,GA,386.2,  ,
Hanover,VA,386.2,  ,
Bullitt,KY,386.4,  ,
Clark,ID,386.4,  ,
Clinton,MI,386.4,  ,
Lincoln,MT,386.5,  ,
Stillwater,MT,386.5,  ,
Clark,WI,386.6,  ,
Juab,UT,386.6,  ,
Marshall,SD,386.7,  ,
Knox,NE,386.7,  ,
Alleghany,NC,386.8,  ,
Lee,NC,386.8,  ,
Washakie,WY,386.8,  ,
Addison,VT,386.9,  ,
Ponce,PR,387.1,  ,
Franklin,ID,387.1,  ,
Spink,SD,387.2,  ,
McHenry,IL,387.6,  ,
Buffalo,NE,387.6,  ,
Custer,MT,387.9,  ,
Nobles,MN,387.9,  ,
Walsh,ND,387.9,  ,
Wallowa,OR,388,  ,
Pottawatomie,KS,388,  ,
Hancock,IN,388.2,  ,
Norton,KS,388.3,  ,
Divide,ND,388.4,  ,
Chesterfield,VA,388.4,  ,
Whitman,WA,388.5,  ,
Saratoga,NY,388.5,  ,
Lake,MT,388.5,  ,
Lancaster,PA,388.8,  ,
Kent,RI,388.9,  ,
Brunswick,NC,388.9,  ,
Fillmore,MN,389,  ,
Cherokee,IA,389.1,  ,
Douglas,OR,389.2,  ,
Passaic,NJ,389.4,  ,
Blaine,NE,389.5,  ,
Jones,SD,389.5,  ,
Roanoke County,VA,389.6,  ,
Cedar,NE,389.6,  ,
Carter,MT,389.6,  ,
New Hanover,NC,389.6,  ,
Gilchrist,FL,389.6,  ,
Sagadahoc,ME,389.7,  ,
Orange,VT,389.7,  ,
New Kent,VA,389.8,  ,
Emmons,ND,389.8,  ,
Boundary,ID,389.9,  ,
Calaveras,CA,390.1,  ,
Midland,MI,390.1,  ,
Penuelas,PR,390.1,  ,
Montgomery,PA,390.1,  ,
Monmouth,NJ,390.2,  ,
Jefferson,OR,390.3,  ,
Craig,VA,390.3,  ,
Barron,WI,390.4,  ,
Crook,WY,390.4,  ,
Sargent,ND,390.4,  ,
Flagler,FL,390.5,  ,
Berkeley,SC,390.5,  ,
Madison,IA,390.6,  ,
Dubuque,IA,390.7,  ,
Merrick,NE,390.8,  ,
Utah,UT,390.8,  ,
Cobb,GA,390.9,  ,
Monroe,WI,391.6,  ,
Mason,WA,391.6,  ,
McCormick,SC,391.7,  ,
Stutsman,ND,391.8,  ,
Miami-Dade,FL,391.9,  ,
Douglas,KS,391.9,  ,
Natrona,WY,391.9,  ,
Los Angeles,CA,392,  ,
Emmet,IA,392.1,  ,
Juneau,WI,392.1,  ,
Jasper,SC,392.2,  ,
Windsor,VT,392.2,  ,
Box Butte,NE,392.2,  ,
Duchesne,UT,392.3,  ,
Day,SD,392.4,  ,
Franklin,ME,392.4,  ,
Outagamie,WI,392.6,  ,
Taylor,WI,392.6,  ,
Onondaga,NY,392.7,  ,
Hampden,MA,392.8,  ,
Dunn,ND,393,  ,
Fulton,GA,393,  ,
Jackson,MN,393.1,  ,
Adams,WA,393.1,  ,
Guadalupe,TX,393.1,  ,
Grant,SD,393.2,  ,
Faulk,SD,393.3,  ,
Pondera,MT,393.3,  ,
Chippewa,WI,393.4,  ,
Hughes,SD,393.5,  ,
Furnas,NE,393.5,  ,
Seminole,FL,393.6,  ,
DeKalb,IL,393.6,  ,
Rawlins,KS,393.8,  ,
Caswell,NC,393.8,  ,
Macon,NC,393.9,  ,
Polk,WI,393.9,  ,
Converse,WY,393.9,  ,
Republic,KS,394,  ,
McMullen,TX,394.1,  ,
Amador,CA,394.2,  ,
Hodgeman,KS,394.5,  ,
Poweshiek,IA,394.5,  ,
Washington,OH,394.5,  ,
Garfield,WA,394.5,  ,
Terrell,TX,394.6,  ,
Jackson,NC,394.6,  ,
Clinton,NY,394.6,  ,
Noble,OH,394.7,  ,
